Frame Number(30fps),Head rotation X,Head rotation Y,Head rotation Z,Brow Left UP,Brow Left Down,Brow Right UP,Brow Right Down,Brow Centerize,Left Brow Outer Down,Right Brow Outer Down,Eye close Left,Eye close Right,Mouse Open,Mouse Left Smile,Mouse Right Smile,Mouse Left Spread,Mouse Right Spread,Mouse Left Fraw,Mouse Right Fraw,Mouse Left Centerize,Mouse Right Centerize,Cheek Left UP,Cheek Right UP,Left Eye rotation X,Left Eye rotation Y,Left Eye rotation Z,Right Eye rotation X,Right Eye rotation Y,Right Eye rotation Z,
0,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7,8,13,13,4,4,2,2,2,3,0,0,0,0,0,0,
1,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.3,8.19,12.89,13,3.59,3.59,2,2,2.09,3,0,0,0,0,0,0,
2,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.59,8.39,12.8,13,3.2,3.2,2,2,2.2,3,0,0,0,0,0,0,
3,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.9,8.6,12.69,13,2.79,2.79,2,2,2.29,3,0,0,0,0,0,0,
4,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.19,8.8,12.6,13,2.4,2.4,2,2,2.4,3,0,0,0,0,0,0,
5,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.5,9,12.5,13,2,2,2,2,2.5,3,0,0,0,0,0,0,
6,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.8,9.19,12.39,13,1.6,1.6,2,2,2.59,3,0,0,0,0,0,0,
7,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.1,9.39,12.3,13,1.2,1.2,2,2,2.7,3,0,0,0,0,0,0,
8,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.39,9.6,12.19,13,0.8,0.8,2,2,2.79,3,0,0,0,0,0,0,
9,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.69,9.8,12.1,13,0.4,0.4,2,2,2.9,3,0,0,0,0,0,0,
10,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,10,10,12,13,0,0,2,2,3,3,0,0,0,0,0,0,
11,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,11,12,12,12,0,0,2,2,4,4,0,0,0,0,0,0,
12,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,11.5,12,11.5,11.5,0,0,2,2,4,4,0,0,0,0,0,0,
13,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,12,12,11,11,0,0,2,2,4,4,0,0,0,0,0,0,
14,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,12,13,12,12,0,0,2,2,4,4,0,0,0,0,0,0,
15,184.8,2.9,181.44,0,0,3,0,5,0,0,4,4,0,12.5,13,11.5,11.5,0,0,2,2,4,4,0,0,0,0,0,0,
16,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,11,11,0,0,2,2,4,4,0,0,0,0,0,0,
17,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,10,11,0,0,2,2,4,4,0,0,0,0,0,0,
18,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,10,10,0,0,2,2,4,4,0,0,0,0,0,0,
19,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,10,10,12,12,1,1,2,2,3,3,0,0,0,0,0,0,
20,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,10,10,11,11,1,1,2,2,3,3,0,0,0,0,0,0,
21,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,8,8,11,11,1,1,2,2,3,3,0,0,0,0,0,0,
22,184.8,2.9,181.5,5,0,8,0,5,0,0,4,4,0,5,5,10,11,1,1,2,2,2,2,0,0,0,0,0,0,
23,184.8,2.9,181.5,15,0,17,0,5,3,3,4,4,0,3,3,10,10,1,1,2,2,1,1,0,0,0,0,0,0,
24,184.8,2.9,181.5,30,0,32,0,5,7,7,4,4,0,3,3,8,8,0,0,2,2,1,1,0,0,0,0,0,0,
25,184.8,2.9,181.55,39.5,0,41,0,5,9.5,9.5,3.5,3.5,0,1.5,1.5,6.5,6.5,0,0,1.5,1.5,0.5,0.5,0,0,0,0,0,0,
26,184.8,2.9,181.6,49,0,50,0,5,12,12,3,3,0,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,
27,184.8,2.9,181.6,69,0,69,0,5,17,17,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,
28,184.8,2.9,181.69,83,0,84,0,5,22,22,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,
29,184.8,2.9,181.8,94,0,94,0,5,24,24,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,
30,184.8,2.9,181.8,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,
31,184.8,2.9,181.8,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,
32,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,21,21,0,0,0,1.39,0,0,1.39,0,
33,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,19,19,0,0,0,1.39,0,0,1.39,0,
34,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,15,15,0,0,0,1.39,0,0,1.39,0,
35,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,13,13,0,0,0,1.39,0,0,1.39,0,
36,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,1.39,0,0,1.39,0,
37,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,12,12,0,0,0,1.39,0,0,1.39,0,
38,184.8,2.9,181.89,99,0,99,0,5,25,25,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,
39,184.8,2.9,181.89,87,0,87,0,5,22,22,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,
40,184.8,2.9,181.8,69,0,69,0,5,18,18,0,0,0,0,0,0,0,2,2,16,16,0,0,0,0,0,0,0,0,
41,184.8,2.9,181.8,49,5,49,5,5,14,14,0,0,0,3,3,2,2,2,2,13,13,1,1,0,0,0,0,0,0,
42,184.8,2.9,181.8,30,15,30,15,10,9,9,0,0,0,8,8,4,4,2,2,10,10,3,3,0,0,0,0,0,0,
43,184.8,2.9,181.8,15,26,15,26,18,4,4,0,0,0,8,8,6,6,2,2,5,5,3,3,0,0,0,0,0,0,
44,184.8,2.9,181.89,6,39,6,39,33,2,2,0,0,0,9,9,8,8,2,2,3,3,3,3,0,0,0,0,0,0,
45,184.8,2.9,182,3,53,3,53,49,1,1,3,3,0,9,9,11,11,1,1,1,1,3,3,0,0,0,0,0,0,
46,184.8,2.9,182,1,63,1,63,67,0,0,4,4,0,6,6,10,10,2,2,0,0,2,2,0,0,0,0,0,0,
47,184.8,2.9,182,0.5,66,0.5,66,73.5,0,0,4.5,4.5,0,3.5,3.5,9.5,9.5,2.5,2.5,0,0,1,1,0,0,0,0,0,0,
48,184.8,2.9,182,0,69,0,69,80,0,0,5,5,0,1,1,9,9,3,3,0,0,0,0,0,0,0,0,0,0,
49,184.8,2.9,182,0,73,0,73,88,0,0,5,5,0,1,1,8,8,5,5,0,0,0,0,0,0,0,0,0,0,
50,184.8,2.9,182,0,75,0,75,90,0,0,5,5,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,
51,184.8,2.9,182,0,75,0,75,89,0,0,5,5,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,
52,184.8,2.9,182.1,0,76,0,76,86,0,0,5,5,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,
53,184.8,2.9,182.1,0,76,0,76,83,0,0,5,5,0,2,2,8,8,5,5,0,0,1,1,0,0,0,0,0,0,
54,184.8,2.9,182.1,0,76,0,76,82,0,0,5,5,0,4,4,12,12,3,3,0,0,1,1,0,0,0,0,0,0,
55,184.8,2.9,182.1,0,76,0,76,81,0,0,5,5,0,7,7,14,14,2,2,0,0,2,2,0,0,0,0,0,0,
56,184.8,2.9,182.1,0,76,0,76,81,0,0,5,5,0,7,7,14,15,2,2,0,0,2,2,0,0,0,0,0,0,
57,184.8,2.9,182.1,0,73,0,73,81,0,0,5,5,0,10,10,14,14,0,0,0,0,3,3,0,0,0,0,0,0,
58,184.8,2.9,182,5,64,5,64,72,0,0,5,5,0,8,8,11,11,0,0,2,2,3,3,0,0,0,0,0,0,
59,184.8,2.9,181.89,18,51,18,51,58,3,3,4,4,0,6,6,6,6,0,0,5,5,2,2,0,0,0,0,0,0,
60,184.8,2.9,181.89,37,36,37,36,43,7,7,1,1,0,3,3,4,4,0,0,9,9,1,1,0,0,0,0,0,0,
61,184.8,2.9,181.8,58,22,58,22,28,12,12,0,0,0,3,3,1,1,0,0,12,12,1,1,0,0,0,0,0,0,
